theorem, reward, proof
" |- A, !A",0,"[['A |- A', ['R!', 'A', '']]]"
"A |- A, !A",1,"[['A |- A', ['R!', 'A', '']], [' |- A, !A', ['Emp', '', '']], [' |- A, !A', ['LW', 'A', '']]]"
" |- A, !A",1,"[['A |- A', ['R!', 'A', '']], [' |- A, !A', ['Emp', '', '']], [' |- A, !A', ['LW', 'A', '']], ['A |- A, !A', ['R!', 'A', '']]]"
" |- B, A, !A",2,"[['A |- A', ['R!', 'A', '']], [' |- A, !A', ['Emp', '', '']], [' |- A, !A', ['LW', 'A', '']], ['A |- A, !A', ['R!', 'A', '']], [' |- A, !A', ['RW', 'B', '']]]"
"A |- B, A",1,"[['A |- A', ['RW', 'B', '']]]"
" |- B, A, !A",1,"[['A |- A', ['RW', 'B', '']], ['A |- B, A', ['R!', 'A', '']]]"
" |- B | A, !A",10,"[['A |- A', ['RW', 'B', '']], ['A |- B, A', ['R!', 'A', '']], [' |- B, A, !A', ['R|', 'B', 'A']]]"
!(!A) |- B | A,1,"[['A |- A', ['RW', 'B', '']], ['A |- B, A', ['R!', 'A', '']], [' |- B, A, !A', ['R|', 'B', 'A']], [' |- B | A, !A', ['L!', '!(A)', '']]]"
"!(!A) |- C, B | A",1,"[['A |- A', ['RW', 'B', '']], ['A |- B, A', ['R!', 'A', '']], [' |- B, A, !A', ['R|', 'B', 'A']], [' |- B | A, !A', ['L!', '!(A)', '']], ['!(!A) |- B | A', ['RW', 'C', '']]]"
 |- A- -> A,1,"[['A |- A', ['R->', 'A', 'A']]]"
" |- A- -> A, C",1,"[['A |- A', ['R->', 'A', 'A']], [' |- A- -> A', ['RW', 'C', '']]]"
!(A- -> A) |- C,1,"[['A |- A', ['R->', 'A', 'A']], [' |- A- -> A', ['RW', 'C', '']], [' |- A- -> A, C', ['L!', '(A)->(A)', '']]]"
 |- (!(!A))- -> (B | A),1,"[['A |- A', ['RW', 'B', '']], ['A |- B, A', ['R!', 'A', '']], [' |- B, A, !A', ['R|', 'B', 'A']], [' |- B | A, !A', ['L!', '!(A)', '']], ['!(!A) |- B | A', ['R->', '!(!(A))', '(B)|(A)']]]"
"B |- A, !A",1,"[['A |- A', ['R!', 'A', '']], [' |- A, !A', ['LW', 'B', '']]]"
"B, A |- A, !A",1,"[['A |- A', ['R!', 'A', '']], [' |- A, !A', ['LW', 'B', '']], ['B |- A, !A', ['LW', 'A', '']]]"
"B |- A, !A",2,"[['A |- A', ['R!', 'A', '']], [' |- A, !A', ['LW', 'B', '']], ['B |- A, !A', ['LW', 'A', '']], ['B, A |- A, !A', ['R!', 'A', '']]]"
"B, C |- A, !A",3,"[['A |- A', ['R!', 'A', '']], [' |- A, !A', ['LW', 'B', '']], ['B |- A, !A', ['LW', 'A', '']], ['B, A |- A, !A', ['R!', 'A', '']], ['B |- A, !A', ['LW', 'C', '']]]"
"!A |- B, !A",1,"[['A |- A', ['RW', 'B', '']], ['A |- B, A', ['R!', 'A', '']], [' |- B, A, !A', ['L!', 'A', '']]]"
"A, !A |- B, !A",2,"[['A |- A', ['RW', 'B', '']], ['A |- B, A', ['R!', 'A', '']], [' |- B, A, !A', ['L!', 'A', '']], ['!A |- B, !A', ['LW', 'A', '']]]"
A |- A,1,"[['A |- A', ['RW', 'A', '']]]"
" |- A, !A",2,"[['A |- A', ['RW', 'A', '']], ['A |- A', ['R!', 'A', '']]]"
 |- A | (!A),3,"[['A |- A', ['RW', 'A', '']], ['A |- A', ['R!', 'A', '']], [' |- A, !A', ['R|', 'A', '!(A)']]]"
!(!A) |- A,4,"[['A |- A', ['RW', 'A', '']], ['A |- A', ['R!', 'A', '']], [' |- A, !A', ['L!', '!(A)', '']]]"
"!(!A), !A |- ",1,"[['A |- A', ['RW', 'A', '']], ['A |- A', ['R!', 'A', '']], [' |- A, !A', ['L!', '!(A)', '']], ['!(!A) |- A', ['L!', 'A', '']]]"
(!A) & (!(!A)) |- ,2,"[['A |- A', ['RW', 'A', '']], ['A |- A', ['R!', 'A', '']], [' |- A, !A', ['L!', '!(A)', '']], ['!(!A) |- A', ['L!', 'A', '']], ['!(!A), !A |- ', ['L&', '!(A)', '!(!(A))']]]"
"C, A |- A",1,"[['A |- A', ['RW', 'A', '']], ['A |- A', ['LW', 'C', '']]]"
"C |- A, !A",1,"[['A |- A', ['RW', 'A', '']], ['A |- A', ['LW', 'C', '']], ['C, A |- A', ['R!', 'A', '']]]"
" |- A, !A",1,"[['A |- A', ['R!', 'A', '']]]"
"A |- A, !A",1,"[['A |- A', ['R!', 'A', '']], [' |- A, !A', ['LW', 'A', '']]]"
"C, A |- A, !A",13,"[['A |- A', ['R!', 'A', '']], [' |- A, !A', ['LW', 'A', '']], ['A |- A, !A', ['LW', 'C', '']]]"
"A & C |- A, !A",1,"[['A |- A', ['R!', 'A', '']], [' |- A, !A', ['LW', 'A', '']], ['A |- A, !A', ['LW', 'C', '']], ['C, A |- A, !A', ['L&', 'A', 'C']]]"
" |- !(A & C), A, !A",2,"[['A |- A', ['R!', 'A', '']], [' |- A, !A', ['LW', 'A', '']], ['A |- A, !A', ['LW', 'C', '']], ['C, A |- A, !A', ['L&', 'A', 'C']], ['A & C |- A, !A', ['R!', '(A)&(C)', '']]]"
"A, !A |- ",1,"[['A |- A', ['L!', 'A', '']]]"
"B, A, !A |- ",2,"[['A |- A', ['L!', 'A', '']], ['A, !A |- ', ['LW', 'B', '']]]"
"B, A, !A |- C",3,"[['A |- A', ['L!', 'A', '']], ['A, !A |- ', ['LW', 'B', '']], ['B, A, !A |- ', ['Emp', '', '']], ['B, A, !A |- ', ['RW', 'C', '']]]"
"(!A) & B, A |- C",1,"[['A |- A', ['L!', 'A', '']], ['A, !A |- ', ['LW', 'B', '']], ['B, A, !A |- ', ['Emp', '', '']], ['B, A, !A |- ', ['RW', 'C', '']], ['B, A, !A |- C', ['L&', '!(A)', 'B']]]"
 |- A- -> A,2,"[['A |- A', ['R->', 'A', 'A']]]"
A |- A- -> A,1,"[['A |- A', ['R->', 'A', 'A']], [' |- A- -> A', ['LW', 'A', '']]]"
"A |- B, A- -> A",1,"[['A |- A', ['R->', 'A', 'A']], [' |- A- -> A', ['LW', 'A', '']], ['A |- A- -> A', ['RW', 'B', '']]]"
" |- B, A, !A",1,"[['A |- A', ['R!', 'A', '']], [' |- A, !A', ['RW', 'B', '']]]"
" |- A, (!A) | B",1,"[['A |- A', ['R!', 'A', '']], [' |- A, !A', ['RW', 'B', '']], [' |- B, A, !A', ['R|', '!(A)', 'B']]]"
" |- C, A, (!A) | B",3,"[['A |- A', ['R!', 'A', '']], [' |- A, !A', ['RW', 'B', '']], [' |- B, A, !A', ['R|', '!(A)', 'B']], [' |- A, (!A) | B', ['RW', 'C', '']]]"
"B |- C, A, (!A) | B",1,"[['A |- A', ['R!', 'A', '']], [' |- A, !A', ['RW', 'B', '']], [' |- B, A, !A', ['R|', '!(A)', 'B']], [' |- A, (!A) | B', ['RW', 'C', '']], [' |- C, A, (!A) | B', ['LW', 'B', '']]]"
"A, !A |- ",1,"[['A |- A', ['RW', 'A', '']], ['A |- A', ['L!', 'A', '']]]"
"A, !A |- A",1,"[['A |- A', ['RW', 'A', '']], ['A |- A', ['L!', 'A', '']], ['A, !A |- ', ['RW', 'A', '']]]"
"B, A, !A |- A",1,"[['A |- A', ['RW', 'A', '']], ['A |- A', ['L!', 'A', '']], ['A, !A |- ', ['RW', 'A', '']], ['A, !A |- A', ['Emp', '', '']], ['A, !A |- A', ['LW', 'B', '']]]"
"B, A |- A",1,"[['A |- A', ['RW', 'A', '']], ['A |- A', ['LW', 'B', '']]]"
"B, A, !A |- ",1,"[['A |- A', ['RW', 'A', '']], ['A |- A', ['LW', 'B', '']], ['B, A |- A', ['L!', 'A', '']]]"
"B & A, !A |- C",1,"[['A |- A', ['L!', 'A', '']], ['A, !A |- ', ['LW', 'B', '']], ['B, A, !A |- ', ['LW', 'B', '']], ['B, A, !A |- ', ['RW', 'C', '']], ['B, A, !A |- C', ['L&', 'B', 'A']]]"
